li	unicode	GHC	homophones	sea	GX2021	GX202404	GX202411
1818	𗖇	khia²	5	2.15	qhʕaʶ²	qhaa̱²	qhaa̱²
1819	𗖆	gie̱j¹	5	1.38	ɴɢʕeʶ¹	ŋġae̱¹	ŋġae̱¹
1820	𗖡	tjạ¹	3	1.64	tạ¹	tah¹	tah¹
1821	𗖭	nju̱²	3	2.06	nnu²	nnu²	nnu²
1822	𗖸	ŋwu̱¹	5	1.05	ɴɴwuʶ¹	ŋŋwu̱¹	ŋŋwu̱¹
1823	𘇳	mja̱¹	1	1.23	mma¹	mma¹	mma¹
1824	𗖘	njwo²	3	2.44	nwo²	nwo²	nwo²
1825	𗉀	tshjwa¹	6	1.20	tshwa¹	tshwa¹	tshwa¹
1826	𗉃	tjij¹	3	1.36	te¹	te¹	te¹
1827	𗖣	źier¹	9	1.78	źʕiʶr¹	rẓai̱r¹	rẓai̱r¹
1828	𗖞	tśjịj¹	7	1.61	tśẹ¹	tśeh¹	tśeh¹
1829	𗈿	tshja¹	6	1.20	tsha¹	tsha¹	tsha¹
1830	𗖻	pjụ¹	1	1.59	pụ¹	puh¹	puh¹
1831	𗖤	tu̱¹	3	1.05	ntuʶ¹	ntu̱¹	ntu̱¹
1832	𗴇	ljwịj²	9	2.54	lwẹ²	lweh²	llweh²
1833	𘞒	śjɨ̱¹	7	1.32	nśə¹	nśə¹	nśə¹
1834	𗹘	dow¹	3	1.54	doʶw¹	do̱ṁ¹	do̱ṃ¹
1835	𘝸	khia²	5	2.15	qhʕaʶ²	qhaa̱²	qhaa̱²
1836	𗹑	tśjɨj¹	7	1.42	tśəj¹	tśeṁ¹	tśeṃ¹
1837	𘈴	gja²	5	2.17	ga²	ga²	ga²
1838	𗴅	kie²	5	2.08	qʕiʶ²	qai̱²	qai̱²
1839	𗳆	lhjo¹	9	1.51	lho¹	lho¹	lho¹
1840	𗳌	tjịj¹	3	1.61	tẹ¹	teh¹	teh¹
1841	𘞑	kjĩ¹	5	1.16	kĩ¹	kiṁ¹	kiṃ¹
1842	𗳎	sji¹	6	1.11	si¹	si¹	si¹
1844	𗰨	ˑjiw²	8	2.40	ˑjiw²	yiw²	yiw²
1846	𘘞	ka¹	5	1.17	qaʶ¹	qa̱¹	qa̱¹
1847	𗟸	ka¹	5	1.17	qaʶ¹	qa̱¹	qa̱¹
1848	𘚅	lhã¹	9	2.14	lhãʶ¹	lha̱ṁ¹	lha̱ṃ¹
1849	𗙁	mə²	1	2.25	məʶ²	mə̱²	mə̱²
1850	𘄪	rjijr²	9	2.68	rer²	rer²	rer²
1851	𘗧	zjwị¹	9	1.67	zwị¹	zwih¹	zwih¹
1852	𘜙	tśjụ²	7	2.52	tśụ²	tśuh²	tśuh²
1854	𘙜	nə̣¹	3	1.68	nə̣ʶ¹	nə̱h¹	nə̱h¹
1855	𗟮	kji̱r²	5	2.86	kiir²	rker²	rker²
1856	𘘗	ljị²	9	2.60	lị²	lih²	llih²
1857	𗳭	ˑjijr²	8	2.68	ˑjer²	ryer²	ryer²
1858	𘔝	njij²	3	2.33	ne²	ne²	ne²
1859	𘙃	ˑjɨ¹	8	1.30	ˑjə¹	yə¹	yə¹
1861	𗉖	tshjɨj¹	6	1.42	tshəj¹	tsheṁ¹	tsheṃ¹
1862	𗉞	ɣu¹	8	1.04	ʁuʶ¹	γu̱¹	ġhu̱¹
1863	𘈪	tja¹	3	1.20	ta¹	ta¹	ta¹
1864	𗶇	dẹ¹	3	1.65	dịʶ¹	di̱h¹	di̱h¹
1865	𘅅	djụ¹	3	1.59	dụ¹	duh¹	duh¹
1866	𘙂	bjị¹	1	1.67	bị¹	bih¹	bih¹
1867	𗵶	xjij²	8	2.33	xe²	he²	he²
1868	𗟥	tjịj¹	3	1.61	tẹ¹	teh¹	teh¹
1869	𗌷	po¹	1	1.49	poʶ¹	po̱¹	po̱¹
1870	𗗱	dźiə¹	7	1.28	dźʕəʶ¹	dẓaə̱¹	dẓaə̱¹
1871	𗡱	sjij¹	6	1.36	se¹	se¹	se¹
