17164	𗅤	⿰𘠐𘪁
17165	𗅥	⿲𘠐𘤫𘠴
17166	𗅦	⿲𘠐𘧀𘠢
17167	𗅧	⿲𘠐𘤻𘠴
17168	𗅨	⿲𘠐𘢷𘢌
17169	𗅩	⿲𘠐⿱𘥄𘠒𘠉
1716A	𗅪	⿰𘠐𘪒
1716B	𗅫	⿲𘠐𘣇𘢌
1716C	𗅬	⿰𘠐𘪙
1716D	𗅭	⿲𘠐𘠩𘦳
1716E	𗅮	⿰𘠐⿱𘡩𘣦
1716F	𗅯	⿲𘠐𘣟𘢌
17170	𗅰	⿰𘠐⿺⿱𘠀𘠔𘦳
17171	𗅱	⿰𘠐⿳𘠀𘡊⿰𘠳𘠢
17172	𗅲	⿰𘠐⿱𘠀⿰𘦳𘠢
17173	𗅳	⿲𘠐𘢌𘤳
17174	𗅴	⿲𘠐𘢌𘥗
17175	𗅵	⿲𘠐𘤏𘢌
17176	𗅶	⿰𘠐𘪧
17177	𗅷	⿲𘠐𘢚𘤻
17178	𗅸	⿲𘠐𘤘𘡯
17179	𗅹	⿲𘠐𘤘𘢌
1717A	𗅺	⿲𘠐𘢡𘤄
1717B	𗅻	⿲𘠐𘢡𘤺
1717C	𗅼	⿰𘠐⿱𘠚𘧨
1717D	𗅽	⿲𘠐⿱𘠚𘠳𘢯
1717E	𗅾	⿲𘠐𘤩𘢶
1717F	𗅿	⿰𘠐𘪴
17180	𗆀	⿲𘠐𘧀𘠴
17181	𗆁	⿰𘠐⿰𘢰⿰𘢌𘠁
17182	𗆂	⿲𘠐𘢷𘤾
17183	𗆃	⿲𘠐𘥖𘢌
17184	𗆄	⿰𘠐⿱𘣋𘣟
17185	𗆅	⿰𘠐⿱𘣍⿰𘫺𘠢
17186	𗆆	⿰𘠐⿳𘣘𘠚𘠳
17187	𗆇	⿲𘠐𘣩𘤾
17188	𗆈	⿲𘠐𘢌⿺𘠔𘢌
17189	𗆉	⿲𘠐𘢌𘦗
1718A	𗆊	⿲𘠐𘢌𘦜
1718B	𗆋	⿲𘠐𘢌𘦺
1718C	𗆌	⿲𘠐𘢌𘧓
1718D	𗆍	⿲𘠐𘢔𘥾
1718E	𗆎	⿲𘠐𘢡𘦙
1718F	𗆏	⿲𘠐𘢡𘦤
17190	𗆐	⿲𘠐𘦖𘢌
17191	𗆑	⿲𘠐𘤩𘫽
17192	𗆒	⿲𘠐𘦳𘡭
17193	𗆓	⿲𘠐𘦹𘡧
17194	𗆔	⿲𘠐𘧀𘡡
17195	𗆕	⿲𘠐𘧀𘢌
17196	𗆖	⿲𘠐𘢷𘦞
17197	𗆗	⿰𘠐𘫑
17198	𗆘	⿲𘠐𘣁𘥜
17199	𗆙	⿰𘠐⿰𘠠⿰𘦂𘠢
1719A	𗆚	⿰𘠐𘫖
1719B	𗆛	⿲𘠐𘢌𘧪
1719C	𗆜	⿲𘠐𘢌𘨃
1719D	𗆝	⿲𘠐𘢌𘨰
1719E	𗆞	⿲𘠐𘫺𘩁
1719F	𗆟	⿲𘠐⿱𘡅𘤅𘠴
171A0	𗆠	⿲𘠐𘨃𘢌
171A1	𗆡	⿲𘠐𘨈𘢌
171A2	𗆢	⿰𘠐⿸𘡋𘩢
171A3	𗆣	⿲𘠐𘦳𘤐
171A4	𗆤	⿲𘠐𘨦𘡧
171A5	𗆥	⿲𘠐𘧀𘣭
171A6	𗆦	⿲𘠐𘧀𘣿
171A7	𗆧	⿲𘠐𘤻𘦜
171A8	𗆨	⿲𘠐𘢷𘨷
171A9	𗆩	⿰𘠐⿱𘥉𘦧
171AA	𗆪	⿲𘠐𘣁𘨓
171AB	𗆫	⿲𘠐𘧘𘣩
171AC	𗆬	⿰𘠐⿱𘠀⿲𘡰𘤝𘠢
171AD	𗆭	⿲𘠐𘢌𘩛
171AE	𗆮	⿲𘠐𘢌𘫴
171AF	𗆯	⿲𘠐𘢡𘩢
171B0	𗆰	⿲𘠐𘦖𘦳
171B1	𗆱	⿲𘠐𘦢𘦳
171B2	𗆲	⿲𘠐𘪲𘠴
171B3	𗆳	⿲𘠐𘦳𘥦
171B4	𗆴	⿲𘠐𘨦𘤮
171B5	𗆵	⿰𘠐⿺𘨧𘤮
171B6	𗆶	⿲𘠐𘢷𘩢
171B7	𗆷	⿲𘠐𘣃𘪒
171B8	𗆸	⿲𘠐𘨃𘥿
171B9	𗆹	⿲𘠐𘦳𘨁
171BA	𗆺	⿲𘠐𘦳𘨷
171BB	𗆻	⿲𘠐𘨻𘦜
171BC	𗆼	⿲𘠐𘧘𘨏
171BD	𗆽	⿰𘠐⿱𘠙⿰𘠁𘫙
